                   t               x1(t)               x2(t)           DeltaX(t)
  3.3333333333333E-01 -9.6666666666667E+00  5.4943381533917E-02  9.7216100482006E+00
  3.4166666666667E-01 -9.6583333333333E+00 -4.2291052274123E-02  9.6160422810592E+00
  3.5000000000000E-01 -9.6500000000000E+00 -1.3945837424336E-01  9.5105416257566E+00
  3.5833333333333E-01 -9.6416666666667E+00 -2.3655864027702E-01  9.4051080263896E+00
  3.6666666666667E-01 -9.6333333333333E+00 -3.3359190623180E-01  9.2997414271015E+00
  3.7500000000000E-01 -9.6250000000000E+00 -4.3055822791781E-01  9.1944417720822E+00
  3.8333333333333E-01 -9.6166666666667E+00 -5.2745766109874E-01  9.0892090055679E+00
  3.9166666666667E-01 -9.6083333333333E+00 -6.2429026149177E-01  8.9840430718416E+00
  4.0000000000000E-01 -9.6000000000000E+00 -7.2105608476768E-01  8.8789439152323E+00
  4.0833333333333E-01 -9.5916666666667E+00 -8.1775518655090E-01  8.7739114801158E+00
  4.1666666666667E-01 -9.5833333333333E+00 -9.1438762241951E-01  8.6689457109138E+00
  4.2500000000000E-01 -9.5750000000000E+00 -1.0109534479053E+00  8.5640465520947E+00
  4.3333333333333E-01 -9.5666666666667E+00 -1.1074527184938E+00  8.4592139481729E+00
  4.4166666666667E-01 -9.5583333333333E+00 -1.2038854896243E+00  8.3544478437090E+00
  4.5000000000000E-01 -9.5500000000000E+00 -1.3002518166900E+00  8.2497481833100E+00
  4.5833333333333E-01 -9.5416666666667E+00 -1.3965517550378E+00  8.1451149116288E+00
  4.6666666666667E-01 -9.5333333333333E+00 -1.4927853599687E+00  8.0405479733647E+00
  4.7500000000000E-01 -9.5250000000000E+00 -1.5889526867374E+00  7.9360473132626E+00
  4.8333333333333E-01 -9.5166666666667E+00 -1.6850537905527E+00  7.8316128761140E+00
  4.9166666666667E-01 -9.5083333333333E+00 -1.7810887265775E+00  7.7272446067558E+00
  5.0000000000000E-01 -9.5000000000000E+00 -1.8770575499286E+00  7.6229424500714E+00
  5.0833333333333E-01 -9.4916666666667E+00 -1.9729603156770E+00  7.5187063509897E+00
